"Issue Type","Summary","Description","Priority","Story Points","Labels"
"Task","[FE][광장] 모바일 조작/접근성 안내 토스트 구현","모바일 조작 힌트와 기본 접근성 라벨을 적용한다.","Medium","2","fe,mvp,plaza,mobile"
"Epic","[FE] 커뮤니티 캔버스 MVP","커뮤니티 벽에서 메모를 작성, 부착, 조회, 신고하는 MVP를 구현한다.","High","","fe,mvp,community"
"Story","[FE][커뮤니티] 캔버스 벽 조회/메모 리스트 렌더링","mock 메모 목록을 벽에 렌더링한다.","High","5","fe,mvp,community"
"Story","[FE][커뮤니티] 새 메모 작성 진입/텍스트 드로잉 모드 구현","텍스트/드로잉 기반 새 메모를 만들 수 있다.","High","5","fe,mvp,community,drawing"
"Story","[FE][커뮤니티] 인벤토리 결과물 선택 후 메모 출력 UI 구현","인벤토리 결과물을 선택해 메모지로 전환한다.","High","3","fe,mvp,community,inventory"
"Story","[FE][커뮤니티] 출력 후 꾸미기 레이어 구현","출력 본문 위에 장식 레이어를 추가할 수 있다.","Medium","3","fe,mvp,community"
"Story","[FE][커뮤니티] 메모 부착 위치 선택/미리보기 구현","사용자가 벽 위치를 선택하고 부착 미리보기를 본다.","High","5","fe,mvp,community"
"Story","[FE][커뮤니티] 내 메모 수정/이동/삭제 UI 구현","UUID가 일치하는 메모에 관리 액션이 표시된다.","High","5","fe,mvp,community,uuid"
"Story","[FE][커뮤니티] 타인 메모 읽기/터치 반응 MVP 구현","타인 메모는 읽기/반응만 가능하다.","Medium","3","fe,mvp,community"
"Story","[FE][커뮤니티] 신고 버튼/신고 완료 상태 구현","신고 모달과 신고 완료 상태가 동작한다.","Medium","3","fe,mvp,community,report"
"Task","[FE][커뮤니티] FIFO/숨김/삭제 상태 UI 반영","expired, hidden, deleted 상태를 UI에서 구분한다.","Medium","2","fe,mvp,community"
"Story","[FE][커뮤니티] 가려진 내 메모 찾기 UI 구현","내 메모 목록에서 위치로 이동할 수 있다.","Medium","3","fe,mvp,community"
"Epic","[FE] 릴레이 드로잉 MVP","방 생성, 대기실, 라운드 드로잉, 결과 조합까지 얇게 관통한다.","High","","fe,mvp,relay,drawing"
"Story","[FE][릴레이] 방 생성/방코드/공유 링크 화면 구현","방 생성 후 코드와 공유 링크를 볼 수 있다.","High","3","fe,mvp,relay,share"
"Story","[FE][릴레이] 닉네임 입력/대기실/참여자 목록 구현","닉네임 입력 후 대기실에 참여자 목록이 표시된다.","High","5","fe,mvp,relay"
"Story","[FE][릴레이] 방장 시작/제한시간 선택/강퇴 UI 구현","방장 전용 시작/시간 선택/강퇴 액션이 보인다.","Medium","3","fe,mvp,relay"
"Story","[FE][릴레이] 3라운드 드로잉 화면 구현","얼굴/몸통/다리 라운드에서 공통 DrawingCanvas를 사용한다.","High","5","fe,mvp,relay,drawing"
"Story","[FE][릴레이] 패싱/힌트 영역/라운드 전환 UI 구현","이전 파트 하단 힌트와 다음 라운드 전환이 표시된다.","High","5","fe,mvp,relay"
"Story","[FE][릴레이] 타이머/자동 제출/빈 캔버스 제출 처리","제한 시간 종료 시 현재 캔버스가 자동 제출된다.","High","3","fe,mvp,relay"
"Story","[FE][릴레이] 결과 캐릭터 조합/출력 화면 구현","조합 결과를 확인하고 저장/공유 CTA를 누를 수 있다.","High","5","fe,mvp,relay,result"
"Task","[FE][릴레이] 재접속/중복 UUID/이탈 안내 UI 구현","재접속, 중복 접속, 이탈 상태 안내를 표시한다.","Medium","3","fe,mvp,relay,uuid"
"Epic","[FE] 오늘의 운세 MVP","운세 뽑기와 결과 저장, 커뮤니티 연결 흐름을 구현한다.","Medium","","fe,mvp,fortune"
"Story","[FE][운세] 운세 존 진입/뽑기 화면 구현","광장에서 운세 뽑기 화면으로 진입할 수 있다.","Medium","3","fe,mvp,fortune"
"Story","[FE][운세] 운세 결과 카드 UI 구현","뽑기 결과 텍스트/이미지가 카드로 표시된다.","Medium","3","fe,mvp,fortune"
"Story","[FE][운세] 결과 저장/인벤토리 등록 흐름 구현","결과를 인벤토리에 저장한다.","Medium","3","fe,mvp,fortune,inventory"
"Story","[FE][운세] 커뮤니티 부착 CTA 연결","결과를 커뮤니티 메모로 가져가는 CTA가 연결된다.","Medium","2","fe,mvp,fortune,community"
"Task","[FE][운세] 결과 재뽑기 제한/상태 안내 구현","재뽑기 제한 또는 상태 안내를 표시한다.","Low","2","fe,mvp,fortune"
"Epic","[FE] 플립북 MVP","프레임 드로잉, 재생, 결과 저장까지 MVP 흐름을 구현한다.","High","","fe,mvp,flipbook,drawing"
"Story","[FE][플립북] 방 생성/참여/공유 화면 구현","플립북 방을 생성하고 공유할 수 있다.","High","3","fe,mvp,flipbook,share"
"Story","[FE][플립북] 프레임 드로잉 캔버스 화면 구현","각 프레임을 공통 DrawingCanvas로 그릴 수 있다.","High","5","fe,mvp,flipbook,drawing"
"Story","[FE][플립북] 프레임 추가/이전 프레임 어니언스킨 구현","프레임 추가와 이전 프레임 반투명 표시가 동작한다.","High","5","fe,mvp,flipbook"
"Story","[FE][플립북] 재생 미리보기/속도 조절 구현","프레임 결과를 재생하고 속도를 바꿀 수 있다.","Medium","3","fe,mvp,flipbook"
"Story","[FE][플립북] 제출/결과 저장/인벤토리 등록 구현","결과물을 저장하고 인벤토리에 등록한다.","High","3","fe,mvp,flipbook,inventory"
"Story","[FE][플립북] 결과 공유/커뮤니티 부착 CTA 연결","결과 화면에서 공유/부착 CTA가 연결된다.","Medium","2","fe,mvp,flipbook,community"
"Task","[FE][플립북] 네트워크 끊김/자동 저장 상태 UI 구현","저장 중/저장됨/끊김 상태를 표시한다.","Medium","3","fe,mvp,flipbook"
"Epic","[FE] 무한 캔버스 MVP","자유 협업 캔버스, 요소 배치, 출력 영역 선택의 MVP를 구현한다.","High","","fe,mvp,infinite-canvas"
"Story","[FE][무한캔버스] 캔버스 생성/합류 화면 구현","새 캔버스를 만들거나 링크로 합류한다.","High","3","fe,mvp,infinite-canvas,share"
"Story","[FE][무한캔버스] 무한 캔버스 pan/zoom/선택 도구 구현","이동, 확대/축소, 선택 도구가 동작한다.","High","5","fe,mvp,infinite-canvas"
"Story","[FE][무한캔버스] 스티키노트/도형/텍스트 요소 배치 구현","기본 요소를 캔버스에 추가/이동할 수 있다.","High","5","fe,mvp,infinite-canvas"
"Story","[FE][무한캔버스] 이미지 업로드/내 결과물 불러오기 구현","이미지와 인벤토리 결과물을 배치한다.","Medium","3","fe,mvp,infinite-canvas,inventory"
"Story","[FE][무한캔버스] 실시간 커서/참여자 표시 UI 구현","참여자 커서/닉네임 mock UI가 표시된다.","Medium","5","fe,mvp,infinite-canvas,realtime"
"Task","[FE][무한캔버스] 요소 잠금/동시 수정 상태 표시 구현","수정 중인 요소에 잠금 표시가 보인다.","Medium","3","fe,mvp,infinite-canvas,realtime"
"Story","[FE][무한캔버스] 출력 영역 선택/포스트잇 export 구현","영역 선택 후 포스트잇 이미지로 export한다.","High","5","fe,mvp,infinite-canvas,export"
"Task","[FE][무한캔버스] 마지막 사용자 이탈 경고 모달 구현","마지막 사용자가 나갈 때 삭제 경고가 표시된다.","Medium","3","fe,mvp,infinite-canvas"
"Task","[FE][무한캔버스] 재연결/새로고침 안내 오버레이 구현","연결 끊김과 재시도 안내가 표시된다.","Medium","3","fe,mvp,infinite-canvas,realtime"
"Epic","[FE] 고객 문의/운영 화면 MVP","고객 문의와 운영 검토 화면을 MVP 수준으로 구현한다.","Medium","","fe,mvp,support,admin"
"Story","[FE][문의] 고객 문의 폼 MVP 구현","문의 유형, 본문, 이메일 입력 후 제출한다.","Medium","3","fe,mvp,support"
"Story","[FE][문의] 첨부 이미지 업로드 UI/mock 구현","최대 3개 첨부 UI와 mock 업로드 상태를 표시한다.","Medium","3","fe,mvp,support,upload"
"Task","[FE][문의] 제출 성공/실패/제한 상태 처리","성공, 실패, rate limit 안내를 표시한다.","Medium","2","fe,mvp,support"
"Story","[FE][운영] 문의 목록/상세/상태 변경 화면 MVP 구현","운영자가 문의 목록과 상세를 확인한다.","Medium","5","fe,mvp,admin,support"
"Story","[FE][운영] 커뮤니티 신고/숨김 메모 검토 화면 MVP 구현","숨김 메모를 복원/삭제 처리하는 UI가 있다.","Medium","5","fe,mvp,admin,community,report"
"Story","[FE][운영] 차단 로그/OCR 결과 조회 화면 MVP 구현","차단 로그와 OCR 추출 텍스트를 조회한다.","Low","3","fe,mvp,admin,moderation"
"Task","[FE][운영] 통계 카드 MVP 구현","문의/신고/차단 기본 통계가 카드로 표시된다.","Low","2","fe,mvp,admin,stats"
"Epic","[FE] 통합 QA/반응형/성능 안정화","전체 기능 골격을 연결한 뒤 모바일, 성능, 흐름 깨짐을 점검한다.","High","","fe,mvp,qa"
"Task","[FE][통합] 공통 mock API 시나리오 정리 및 연결","주요 성공/실패/빈 상태 mock을 정리한다.","High","3","fe,mvp,qa,mock"
"Task","[FE][통합] 주요 사용자 플로우 스모크 테스트 문서화","랜딩부터 각 결과 저장까지 수동 QA 경로를 만든다.","High","3","fe,mvp,qa"
"Task","[FE][통합] 모바일 뷰포트 QA 및 깨짐 수정","모바일 주요 화면에서 조작과 레이아웃이 깨지지 않는다.","High","3","fe,mvp,qa,mobile"
"Task","[FE][통합] 캔버스 성능 기본 점검 및 렌더링 최적화","드로잉/캔버스 화면의 과도한 렌더링을 줄인다.","Medium","5","fe,mvp,qa,performance"
"Task","[FE][통합] 접근성/키보드/포커스 기본 점검","버튼, 모달, 입력 폼에 기본 접근성을 적용한다.","Medium","2","fe,mvp,qa,a11y"
"Task","[FE][통합] 디자인 polish backlog 분리 정리","다음 스프린트로 넘길 디자인 개선 티켓을 별도 정리한다.","Medium","2","fe,mvp,qa,design"
